CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.609375 1688930918.5510
MEM 17.070312 1688930918.6520
MEM 25.265625 1688930918.7526
MEM 31.199219 1688930918.8529
MEM 35.875000 1688930918.9533
MEM 39.414062 1688930919.0543
MEM 44.226562 1688930919.1553
MEM 50.980469 1688930919.2563
MEM 60.816406 1688930919.3573
MEM 68.953125 1688930919.4583
MEM 77.468750 1688930919.5593
MEM 84.191406 1688930919.6603
MEM 84.347656 1688930919.7613
MEM 84.593750 1688930919.8623
MEM 84.593750 1688930919.9628
MEM 84.917969 1688930920.0634
MEM 84.917969 1688930920.1644
MEM 85.429688 1688930920.2654
MEM 85.484375 1688930920.3664
MEM 85.484375 1688930920.4674
MEM 85.558594 1688930920.5684
MEM 85.660156 1688930920.6694
MEM 85.660156 1688930920.7704
MEM 85.687500 1688930920.8714
MEM 85.687500 1688930920.9719
MEM 85.691406 1688930921.0724
MEM 85.722656 1688930921.1734
MEM 85.722656 1688930921.2744
MEM 85.722656 1688930921.3754
MEM 85.722656 1688930921.4764
MEM 85.726562 1688930921.5774
MEM 85.769531 1688930921.6779
MEM 85.777344 1688930921.7784
MEM 85.871094 1688930921.8790
MEM 85.871094 1688930921.9795
MEM 85.871094 1688930922.0800
MEM 85.871094 1688930922.1805
MEM 85.871094 1688930922.2810
MEM 85.921875 1688930922.3815
MEM 85.921875 1688930922.4820
MEM 85.921875 1688930922.5830
MEM 86.035156 1688930922.6840
MEM 86.035156 1688930922.7850
MEM 86.855469 1688930922.8861
MEM 86.855469 1688930922.9871
MEM 86.855469 1688930923.0881
MEM 86.855469 1688930923.1891
MEM 86.855469 1688930923.2901
MEM 86.855469 1688930923.3911
MEM 86.855469 1688930923.4920
MEM 86.855469 1688930923.5929
MEM 86.855469 1688930923.6934
MEM 86.855469 1688930923.7940
MEM 86.855469 1688930923.8950
MEM 86.855469 1688930923.9960
MEM 86.855469 1688930924.0970
MEM 86.914062 1688930924.1980
