CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.609375 1688713019.9818
MEM 17.300781 1688713020.0828
MEM 25.679688 1688713020.1838
MEM 31.988281 1688713020.2848
MEM 37.125000 1688713020.3858
MEM 43.675781 1688713020.4868
MEM 49.218750 1688713020.5878
MEM 59.328125 1688713020.6888
MEM 68.410156 1688713020.7898
MEM 77.656250 1688713020.8908
MEM 93.656250 1688713020.9918
MEM 104.101562 1688713021.0928
MEM 89.863281 1688713021.1938
MEM 89.863281 1688713021.2948
MEM 89.863281 1688713021.3958
MEM 89.863281 1688713021.4968
MEM 89.863281 1688713021.5978
MEM 89.863281 1688713021.6988
MEM 89.863281 1688713021.7998
MEM 89.863281 1688713021.9008
MEM 89.863281 1688713022.0018
MEM 89.863281 1688713022.1028
MEM 89.863281 1688713022.2038
MEM 89.863281 1688713022.3048
MEM 89.882812 1688713022.4058
MEM 89.921875 1688713022.5068
MEM 89.984375 1688713022.6078
MEM 89.992188 1688713022.7088
MEM 90.035156 1688713022.8098
MEM 90.093750 1688713022.9108
MEM 90.234375 1688713023.0118
MEM 90.890625 1688713023.1122
MEM 90.890625 1688713023.2132
MEM 90.906250 1688713023.3142
MEM 90.906250 1688713023.4152
MEM 90.906250 1688713023.5162
MEM 90.906250 1688713023.6172
MEM 90.906250 1688713023.7182
MEM 90.906250 1688713023.8192
MEM 90.906250 1688713023.9202
MEM 90.906250 1688713024.0212
MEM 90.906250 1688713024.1222
MEM 90.906250 1688713024.2232
MEM 90.906250 1688713024.3241
MEM 90.906250 1688713024.4251
MEM 90.906250 1688713024.5262
MEM 90.906250 1688713024.6272
MEM 90.906250 1688713024.7281
MEM 90.906250 1688713024.8291
MEM 90.906250 1688713024.9298
MEM 91.343750 1688713025.0308
MEM 91.960938 1688713025.1318
MEM 92.535156 1688713025.2328
MEM 93.156250 1688713025.3338
MEM 93.781250 1688713025.4348
MEM 94.031250 1688713025.5351
MEM 94.406250 1688713025.6356
MEM 94.468750 1688713025.7362
MEM 94.531250 1688713025.8366
MEM 94.531250 1688713025.9372
MEM 95.031250 1688713026.0380
MEM 95.531250 1688713026.1391
MEM 95.968750 1688713026.2400
MEM 96.468750 1688713026.3411
MEM 96.781250 1688713026.4415
MEM 97.218750 1688713026.5424
MEM 97.812500 1688713026.6434
MEM 98.496094 1688713026.7444
MEM 98.882812 1688713026.8454
MEM 99.531250 1688713026.9464
MEM 100.109375 1688713027.0474
MEM 101.242188 1688713027.1484
MEM 102.695312 1688713027.2494
MEM 102.695312 1688713027.3504
MEM 102.695312 1688713027.4514
MEM 102.695312 1688713027.5524
MEM 102.695312 1688713027.6534
MEM 102.695312 1688713027.7544
MEM 102.695312 1688713027.8554
MEM 102.695312 1688713027.9564
MEM 102.695312 1688713028.0574
MEM 102.695312 1688713028.1584
MEM 102.695312 1688713028.2595
MEM 102.695312 1688713028.3605
MEM 102.699219 1688713028.4615
