CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe mainM.py
MEM 2.000000 1689743515.1130
MEM 16.519531 1689743515.2140
MEM 25.078125 1689743515.3150
MEM 30.394531 1689743515.4160
MEM 35.628906 1689743515.5170
MEM 39.804688 1689743515.6180
MEM 45.195312 1689743515.7186
MEM 53.089844 1689743515.8197
MEM 60.882812 1689743515.9206
MEM 69.070312 1689743516.0217
MEM 75.671875 1689743516.1226
MEM 84.078125 1689743516.2237
MEM 84.320312 1689743516.3246
MEM 84.496094 1689743516.4257
MEM 85.324219 1689743516.5267
MEM 85.339844 1689743516.6276
MEM 85.429688 1689743516.7287
MEM 85.429688 1689743516.8291
MEM 85.429688 1689743516.9302
MEM 85.429688 1689743517.0309
MEM 85.429688 1689743517.1315
MEM 85.429688 1689743517.2325
MEM 85.429688 1689743517.3329
MEM 85.429688 1689743517.4338
MEM 85.429688 1689743517.5350
MEM 85.433594 1689743517.6360
MEM 85.453125 1689743517.7370
MEM 85.476562 1689743517.8397
MEM 85.476562 1689743517.9405
MEM 85.562500 1689743518.0409
MEM 85.636719 1689743518.1414
MEM 85.707031 1689743518.2419
MEM 85.707031 1689743518.3439
MEM 85.707031 1689743518.4449
MEM 85.714844 1689743518.5459
MEM 85.714844 1689743518.6470
MEM 85.714844 1689743518.7480
MEM 85.714844 1689743518.8560
MEM 85.714844 1689743518.9610
MEM 85.714844 1689743519.0620
MEM 85.714844 1689743519.1628
MEM 85.714844 1689743519.2635
MEM 85.714844 1689743519.3686
MEM 84.738281 1689743519.4696
MEM 84.738281 1689743519.5704
MEM 84.738281 1689743519.6714
MEM 84.738281 1689743519.7718
MEM 84.738281 1689743519.8727
MEM 84.738281 1689743519.9739
MEM 84.738281 1689743520.0748
