CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.679688 1688931616.6951
MEM 16.972656 1688931616.7961
MEM 24.457031 1688931616.8971
MEM 31.285156 1688931616.9981
MEM 36.054688 1688931617.0984
MEM 40.992188 1688931617.1988
MEM 46.355469 1688931617.2999
MEM 56.417969 1688931617.4008
MEM 64.550781 1688931617.5019
MEM 73.421875 1688931617.6028
MEM 79.171875 1688931617.7038
MEM 83.558594 1688931617.8048
MEM 83.804688 1688931617.9058
MEM 84.101562 1688931618.0068
MEM 84.101562 1688931618.1078
MEM 84.468750 1688931618.2084
MEM 84.468750 1688931618.3094
MEM 84.484375 1688931618.4104
MEM 85.238281 1688931618.5109
MEM 85.238281 1688931618.6111
MEM 85.238281 1688931618.7121
MEM 85.238281 1688931618.8131
MEM 85.308594 1688931618.9141
MEM 85.308594 1688931619.0151
MEM 85.308594 1688931619.1161
MEM 85.308594 1688931619.2171
MEM 85.429688 1688931619.3181
MEM 85.429688 1688931619.4191
MEM 85.429688 1688931619.5198
MEM 85.496094 1688931619.6208
MEM 85.496094 1688931619.7213
MEM 85.496094 1688931619.8223
MEM 85.496094 1688931619.9233
MEM 85.496094 1688931620.0243
MEM 85.500000 1688931620.1253
MEM 85.500000 1688931620.2263
MEM 85.500000 1688931620.3273
MEM 85.500000 1688931620.4283
MEM 85.500000 1688931620.5293
MEM 85.500000 1688931620.6303
MEM 85.500000 1688931620.7313
MEM 85.500000 1688931620.8323
MEM 85.500000 1688931620.9333
MEM 85.500000 1688931621.0523
MEM 85.566406 1688931621.1533
MEM 85.656250 1688931621.2543
MEM 85.675781 1688931621.3553
MEM 85.703125 1688931621.4563
MEM 85.800781 1688931621.5573
MEM 85.867188 1688931621.6583
MEM 86.828125 1688931621.7593
MEM 86.828125 1688931621.8603
MEM 86.828125 1688931621.9608
MEM 86.828125 1688931622.0613
MEM 86.828125 1688931622.1623
MEM 86.828125 1688931622.2633
MEM 86.828125 1688931622.3643
MEM 86.828125 1688931622.4653
MEM 86.828125 1688931622.5663
MEM 86.828125 1688931622.6673
MEM 86.828125 1688931622.7684
MEM 86.828125 1688931622.8694
MEM 86.828125 1688931622.9704
MEM 86.828125 1688931623.0714
MEM 86.843750 1688931623.1724
MEM 86.843750 1688931623.2734
MEM 86.843750 1688931623.3744
MEM 86.843750 1688931623.4754
MEM 86.843750 1688931623.5764
MEM 86.843750 1688931623.6774
MEM 86.843750 1688931623.7784
MEM 86.843750 1688931623.8791
MEM 86.843750 1688931623.9799
MEM 86.843750 1688931624.0803
MEM 86.843750 1688931624.1810
MEM 86.843750 1688931624.2813
MEM 86.843750 1688931624.3820
MEM 86.843750 1688931624.4825
MEM 86.843750 1688931624.5832
MEM 86.843750 1688931624.6844
MEM 86.843750 1688931624.7853
MEM 86.843750 1688931624.8864
MEM 86.843750 1688931624.9873
MEM 86.843750 1688931625.0883
MEM 86.843750 1688931625.1893
MEM 86.843750 1688931625.2907
MEM 86.843750 1688931625.3913
MEM 86.843750 1688931625.4923
MEM 86.843750 1688931625.5933
MEM 86.843750 1688931625.6943
MEM 86.843750 1688931625.7954
MEM 86.843750 1688931625.8964
MEM 86.843750 1688931625.9973
MEM 86.843750 1688931626.0984
MEM 86.843750 1688931626.1995
MEM 86.843750 1688931626.3009
MEM 86.843750 1688931626.4019
MEM 86.843750 1688931626.5029
MEM 86.843750 1688931626.6039
MEM 86.843750 1688931626.7050
MEM 86.843750 1688931626.8053
MEM 86.843750 1688931626.9055
MEM 86.843750 1688931627.0060
MEM 86.843750 1688931627.1063
MEM 86.843750 1688931627.2066
MEM 86.843750 1688931627.3075
MEM 86.843750 1688931627.4086
MEM 86.843750 1688931627.5087
MEM 86.843750 1688931627.6098
MEM 86.843750 1688931627.7100
MEM 86.843750 1688931627.8111
MEM 86.843750 1688931627.9121
MEM 86.843750 1688931628.0131
MEM 86.843750 1688931628.1141
MEM 86.843750 1688931628.2151
MEM 86.843750 1688931628.3161
MEM 86.843750 1688931628.4172
MEM 86.843750 1688931628.5182
MEM 86.843750 1688931628.6192
MEM 86.843750 1688931628.7205
MEM 86.843750 1688931628.8210
MEM 86.843750 1688931628.9215
MEM 86.843750 1688931629.0225
MEM 86.843750 1688931629.1235
MEM 86.843750 1688931629.2245
MEM 86.843750 1688931629.3255
MEM 86.843750 1688931629.4265
MEM 86.843750 1688931629.5275
MEM 86.843750 1688931629.6280
MEM 86.843750 1688931629.7285
MEM 86.843750 1688931629.8294
MEM 86.843750 1688931629.9300
MEM 86.843750 1688931630.0310
MEM 86.843750 1688931630.1315
MEM 86.843750 1688931630.2325
MEM 86.843750 1688931630.3335
MEM 86.843750 1688931630.4345
MEM 86.843750 1688931630.5355
MEM 86.843750 1688931630.6365
MEM 86.843750 1688931630.7375
MEM 86.843750 1688931630.8388
MEM 86.843750 1688931630.9392
MEM 86.843750 1688931631.0401
MEM 86.843750 1688931631.1406
MEM 86.843750 1688931631.2410
MEM 86.843750 1688931631.3415
MEM 86.843750 1688931631.4426
MEM 86.843750 1688931631.5433
MEM 86.843750 1688931631.6442
MEM 86.843750 1688931631.7453
MEM 86.843750 1688931631.8462
MEM 86.843750 1688931631.9472
MEM 84.300781 1688931632.0482
