CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.613281 1688931805.8660
MEM 16.804688 1688931805.9670
MEM 25.179688 1688931806.0679
MEM 31.035156 1688931806.1685
MEM 36.050781 1688931806.2693
MEM 40.781250 1688931806.3707
MEM 45.945312 1688931806.4717
MEM 56.980469 1688931806.5727
MEM 65.218750 1688931806.6737
MEM 73.898438 1688931806.7747
MEM 79.757812 1688931806.8757
MEM 125.468750 1688931806.9767
MEM 192.824219 1688931807.0777
MEM 234.261719 1688931807.1788
MEM 234.261719 1688931807.2799
MEM 234.261719 1688931807.3809
MEM 234.261719 1688931807.4819
MEM 234.261719 1688931807.5829
