CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.605469 1688714351.9197
MEM 16.046875 1688714352.0207
MEM 24.625000 1688714352.1217
MEM 31.023438 1688714352.2227
MEM 35.898438 1688714352.3238
MEM 40.625000 1688714352.4248
MEM 46.140625 1688714352.5258
MEM 56.972656 1688714352.6262
MEM 65.226562 1688714352.7272
MEM 74.761719 1688714352.8282
MEM 80.582031 1688714352.9292
MEM 93.839844 1688714353.0302
MEM 104.902344 1688714353.1312
MEM 90.058594 1688714353.2322
MEM 90.058594 1688714353.3332
MEM 90.058594 1688714353.4342
MEM 90.058594 1688714353.5352
MEM 90.058594 1688714353.6362
MEM 90.070312 1688714353.7372
MEM 90.132812 1688714353.8382
MEM 90.167969 1688714353.9392
MEM 90.378906 1688714354.0394
MEM 90.394531 1688714354.1404
MEM 90.410156 1688714354.2410
MEM 90.414062 1688714354.3417
MEM 90.683594 1688714354.4427
MEM 90.683594 1688714354.5437
MEM 90.683594 1688714354.6442
MEM 90.683594 1688714354.7447
MEM 90.683594 1688714354.8453
MEM 90.761719 1688714354.9463
MEM 90.761719 1688714355.0473
MEM 90.761719 1688714355.1477
MEM 91.144531 1688714355.2486
MEM 91.156250 1688714355.3496
MEM 91.156250 1688714355.4506
MEM 91.156250 1688714355.5516
MEM 91.156250 1688714355.6527
MEM 91.156250 1688714355.7536
MEM 91.156250 1688714355.8547
MEM 91.156250 1688714355.9556
MEM 91.156250 1688714356.0566
MEM 91.156250 1688714356.1576
MEM 91.156250 1688714356.2580
MEM 91.156250 1688714356.3584
MEM 91.156250 1688714356.4587
MEM 91.156250 1688714356.5597
MEM 91.156250 1688714356.6607
MEM 91.156250 1688714356.7617
MEM 91.160156 1688714356.8627
MEM 91.160156 1688714356.9637
MEM 91.160156 1688714357.0647
MEM 91.160156 1688714357.1655
MEM 91.160156 1688714357.2664
MEM 91.160156 1688714357.3674
MEM 91.160156 1688714357.4679
MEM 91.160156 1688714357.5686
MEM 91.160156 1688714357.6696
MEM 91.160156 1688714357.7707
MEM 91.160156 1688714357.8717
MEM 91.160156 1688714357.9726
MEM 91.160156 1688714358.0737
MEM 91.160156 1688714358.1739
MEM 91.160156 1688714358.2744
MEM 91.160156 1688714358.3751
MEM 91.160156 1688714358.4759
MEM 91.160156 1688714358.5770
MEM 91.160156 1688714358.6779
MEM 91.160156 1688714358.7789
MEM 91.160156 1688714358.8799
MEM 91.160156 1688714358.9809
MEM 91.160156 1688714359.0819
MEM 91.160156 1688714359.1829
MEM 91.160156 1688714359.2839
MEM 91.160156 1688714359.3849
MEM 91.160156 1688714359.4859
MEM 91.160156 1688714359.5869
MEM 91.160156 1688714359.6879
MEM 91.164062 1688714359.7889
MEM 91.164062 1688714359.8900
MEM 91.164062 1688714359.9907
MEM 91.167969 1688714360.0917
MEM 91.167969 1688714360.1927
MEM 91.167969 1688714360.2937
MEM 91.167969 1688714360.3948
MEM 91.167969 1688714360.4950
MEM 91.167969 1688714360.5961
MEM 91.167969 1688714360.6969
MEM 91.167969 1688714360.7978
MEM 91.167969 1688714360.8982
MEM 91.167969 1688714360.9985
MEM 91.167969 1688714361.0991
MEM 91.167969 1688714361.2001
MEM 91.167969 1688714361.3014
MEM 91.167969 1688714361.4027
MEM 91.167969 1688714361.5040
MEM 91.167969 1688714361.6051
MEM 91.167969 1688714361.7061
MEM 91.167969 1688714361.8064
MEM 91.167969 1688714361.9070
MEM 91.167969 1688714362.0080
MEM 91.167969 1688714362.1088
MEM 91.167969 1688714362.2098
MEM 91.167969 1688714362.3106
MEM 91.167969 1688714362.4117
MEM 91.167969 1688714362.5127
MEM 91.167969 1688714362.6137
MEM 91.167969 1688714362.7146
MEM 91.167969 1688714362.8152
MEM 91.167969 1688714362.9163
MEM 91.167969 1688714363.0167
MEM 91.167969 1688714363.1177
MEM 91.167969 1688714363.2187
MEM 91.167969 1688714363.3196
MEM 91.167969 1688714363.4202
MEM 91.167969 1688714363.5212
MEM 91.167969 1688714363.6222
MEM 91.167969 1688714363.7232
MEM 91.167969 1688714363.8242
MEM 91.167969 1688714363.9247
MEM 91.167969 1688714364.0251
MEM 91.167969 1688714364.1259
MEM 91.167969 1688714364.2269
MEM 91.167969 1688714364.3279
MEM 91.167969 1688714364.4289
MEM 91.167969 1688714364.5295
MEM 91.167969 1688714364.6296
MEM 91.167969 1688714364.7302
MEM 91.167969 1688714364.8312
MEM 91.167969 1688714364.9314
MEM 91.167969 1688714365.0324
MEM 91.167969 1688714365.1335
MEM 91.167969 1688714365.2342
MEM 91.167969 1688714365.3351
MEM 91.292969 1688714365.4361
MEM 91.292969 1688714365.5372
MEM 92.246094 1688714365.6381
MEM 92.246094 1688714365.7392
MEM 91.156250 1688714365.8401
MEM 91.246094 1688714365.9412
MEM 91.281250 1688714366.0422
MEM 91.281250 1688714366.1432
MEM 92.406250 1688714366.2441
MEM 92.417969 1688714366.3452
MEM 91.050781 1688714366.4462
MEM 91.066406 1688714366.5472
MEM 91.167969 1688714366.6482
MEM 91.332031 1688714366.7492
MEM 91.417969 1688714366.8502
MEM 91.496094 1688714366.9513
MEM 91.496094 1688714367.0521
MEM 91.496094 1688714367.1529
MEM 91.496094 1688714367.2537
MEM 92.429688 1688714367.7412
MEM 92.429688 1688714367.8422
MEM 92.429688 1688714367.9432
MEM 92.429688 1688714368.0443
MEM 92.429688 1688714368.1452
MEM 92.429688 1688714368.2462
MEM 92.429688 1688714368.3472
MEM 92.429688 1688714368.4482
MEM 92.429688 1688714368.5492
MEM 92.429688 1688714368.6503
MEM 92.429688 1688714368.7505
MEM 92.429688 1688714368.8514
MEM 92.429688 1688714368.9524
MEM 92.429688 1688714369.0534
MEM 92.429688 1688714369.1545
MEM 92.429688 1688714369.2555
MEM 92.437500 1688714369.3565
MEM 92.437500 1688714369.4575
MEM 92.437500 1688714369.5584
MEM 92.437500 1688714369.6592
MEM 92.437500 1688714369.7595
MEM 92.546875 1688714369.8607
MEM 92.546875 1688714369.9611
MEM 92.546875 1688714370.0623
MEM 92.546875 1688714370.1629
MEM 92.546875 1688714370.2636
MEM 92.546875 1688714370.3641
MEM 92.546875 1688714370.4647
MEM 92.546875 1688714370.5651
MEM 93.257812 1688714370.6660
MEM 94.312500 1688714370.7670
MEM 95.132812 1688714370.8677
MEM 95.132812 1688714370.9687
MEM 95.132812 1688714371.0697
MEM 95.257812 1688714371.1707
MEM 95.527344 1688714371.2711
MEM 95.531250 1688714371.3717
MEM 95.847656 1688714371.4728
MEM 96.972656 1688714371.5738
MEM 98.097656 1688714371.6747
MEM 98.113281 1688714371.7757
MEM 98.113281 1688714371.8767
MEM 98.113281 1688714371.9778
MEM 98.175781 1688714372.0784
MEM 98.621094 1688714372.1794
MEM 99.613281 1688714372.2803
MEM 102.042969 1688714372.3813
MEM 101.203125 1688714372.4823
MEM 101.203125 1688714372.5833
MEM 101.203125 1688714372.6844
MEM 101.203125 1688714372.7854
MEM 101.214844 1688714372.8864
MEM 101.214844 1688714372.9874
MEM 101.214844 1688714373.0885
MEM 101.214844 1688714373.1895
MEM 101.277344 1688714373.2896
MEM 101.277344 1688714373.3901
MEM 101.277344 1688714373.4910
MEM 101.277344 1688714373.5919
MEM 101.277344 1688714373.6930
MEM 101.277344 1688714373.7933
MEM 101.281250 1688714373.8948
MEM 101.394531 1688714373.9950
MEM 101.488281 1688714374.0954
MEM 102.226562 1688714374.1964
MEM 102.226562 1688714374.2968
MEM 102.226562 1688714374.3976
MEM 102.488281 1688714374.4982
MEM 103.312500 1688714374.5989
MEM 103.445312 1688714374.6999
MEM 103.445312 1688714374.8009
MEM 103.445312 1688714374.9013
MEM 103.445312 1688714375.0023
MEM 103.445312 1688714375.1026
MEM 103.597656 1688714375.2036
MEM 103.679688 1688714375.3046
MEM 103.886719 1688714375.4056
MEM 103.949219 1688714375.5062
MEM 103.949219 1688714375.6068
MEM 103.949219 1688714375.7075
MEM 103.949219 1688714375.8079
MEM 103.949219 1688714375.9083
