CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.613281 1688931836.0007
MEM 17.140625 1688931836.1017
MEM 25.542969 1688931836.2027
MEM 31.917969 1688931836.3037
MEM 37.359375 1688931836.4047
MEM 43.437500 1688931836.5057
MEM 48.121094 1688931836.6067
MEM 58.703125 1688931836.7077
MEM 65.976562 1688931836.8087
MEM 75.062500 1688931836.9097
MEM 81.437500 1688931837.0102
MEM 84.230469 1688931837.1107
MEM 84.484375 1688931837.2117
MEM 84.703125 1688931837.3127
MEM 84.703125 1688931837.4131
MEM 84.703125 1688931837.5137
MEM 84.703125 1688931837.6147
MEM 87.628906 1688931837.7157
MEM 87.632812 1688931837.8161
MEM 87.789062 1688931837.9171
MEM 87.882812 1688931838.0181
MEM 87.882812 1688931838.1191
MEM 87.882812 1688931838.2201
MEM 87.882812 1688931838.3211
MEM 88.121094 1688931838.4222
MEM 88.425781 1688931838.5231
MEM 88.433594 1688931838.6242
MEM 86.433594 1688931838.7251
MEM 86.433594 1688931838.8261
MEM 86.433594 1688931838.9271
MEM 86.433594 1688931839.0276
MEM 86.921875 1688931839.1280
MEM 86.933594 1688931839.2285
MEM 86.937500 1688931839.3294
MEM 86.941406 1688931839.4299
MEM 86.941406 1688931839.5311
MEM 86.941406 1688931839.6318
MEM 86.941406 1688931839.7328
MEM 86.945312 1688931839.8338
MEM 86.945312 1688931839.9343
MEM 86.945312 1688931840.0353
MEM 86.945312 1688931840.1363
MEM 86.953125 1688931840.2373
MEM 86.953125 1688931840.3383
MEM 86.953125 1688931840.4393
MEM 86.953125 1688931840.5399
MEM 86.953125 1688931840.6404
MEM 86.953125 1688931840.7414
MEM 86.953125 1688931840.8424
MEM 86.953125 1688931840.9434
MEM 86.953125 1688931841.0444
MEM 86.953125 1688931841.1454
MEM 86.953125 1688931841.2464
MEM 86.953125 1688931841.3474
MEM 86.953125 1688931841.4483
MEM 86.953125 1688931841.5495
MEM 86.953125 1688931841.6500
MEM 86.953125 1688931841.7511
MEM 86.953125 1688931841.8522
MEM 86.953125 1688931841.9531
MEM 86.953125 1688931842.0541
MEM 86.953125 1688931842.1543
MEM 86.957031 1688931842.2552
MEM 86.957031 1688931842.3562
MEM 86.957031 1688931842.4568
MEM 86.957031 1688931842.5581
MEM 86.957031 1688931842.6586
