CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.675781 1688713191.3372
MEM 16.019531 1688713191.4382
MEM 24.453125 1688713191.5392
MEM 30.921875 1688713191.6402
MEM 36.875000 1688713191.7412
MEM 43.406250 1688713191.8422
MEM 48.914062 1688713191.9432
MEM 59.546875 1688713192.0442
MEM 68.468750 1688713192.1452
MEM 77.628906 1688713192.2462
MEM 93.804688 1688713192.3472
MEM 104.214844 1688713192.4482
MEM 89.765625 1688713192.5492
MEM 89.769531 1688713192.6502
MEM 89.773438 1688713192.7512
MEM 89.773438 1688713192.8522
MEM 89.773438 1688713192.9532
MEM 89.773438 1688713193.0542
MEM 89.773438 1688713193.1552
MEM 89.792969 1688713193.2562
MEM 89.875000 1688713193.3572
MEM 89.914062 1688713193.4582
MEM 89.933594 1688713193.5592
MEM 90.648438 1688713193.6602
MEM 90.781250 1688713193.7612
MEM 90.792969 1688713193.8622
MEM 90.792969 1688713193.9632
MEM 90.792969 1688713194.0642
MEM 90.792969 1688713194.1652
MEM 90.792969 1688713194.2662
MEM 90.792969 1688713194.3672
MEM 91.089844 1688713194.4682
MEM 92.292969 1688713194.5692
MEM 93.355469 1688713194.6702
MEM 94.371094 1688713194.7712
MEM 95.675781 1688713194.8722
MEM 97.183594 1688713194.9732
MEM 98.023438 1688713195.0742
MEM 97.769531 1688713195.1752
MEM 99.156250 1688713195.2762
MEM 100.023438 1688713195.3772
MEM 101.210938 1688713195.4782
MEM 102.222656 1688713195.5792
MEM 103.308594 1688713195.6802
MEM 104.164062 1688713195.7813
MEM 104.164062 1688713195.8820
MEM 104.488281 1688713195.9827
MEM 105.468750 1688713196.0836
MEM 106.683594 1688713196.1846
MEM 107.769531 1688713196.2856
MEM 109.156250 1688713196.3866
MEM 111.761719 1688713196.4876
MEM 110.171875 1688713196.5886
MEM 110.171875 1688713196.6897
MEM 110.171875 1688713196.7906
MEM 110.171875 1688713196.8916
MEM 110.171875 1688713196.9927
MEM 110.171875 1688713197.0934
MEM 110.171875 1688713197.1946
MEM 110.171875 1688713197.2951
MEM 110.171875 1688713197.3960
MEM 110.171875 1688713197.4970
MEM 110.171875 1688713197.5980
MEM 110.171875 1688713197.6990
