CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.671875 1688713589.6131
MEM 17.414062 1688713589.7141
MEM 26.070312 1688713589.8151
MEM 32.546875 1688713589.9161
MEM 38.976562 1688713590.0171
MEM 44.492188 1688713590.1181
MEM 52.804688 1688713590.2191
MEM 63.304688 1688713590.3201
MEM 72.175781 1688713590.4211
MEM 78.929688 1688713590.5221
MEM 92.332031 1688713590.6231
MEM 108.992188 1688713590.7241
MEM 90.203125 1688713590.8261
MEM 90.203125 1688713590.9271
MEM 90.214844 1688713591.0281
MEM 90.214844 1688713591.1291
MEM 90.214844 1688713591.2301
MEM 90.214844 1688713591.3311
MEM 90.261719 1688713591.4321
MEM 90.304688 1688713591.5331
MEM 90.343750 1688713591.6341
MEM 90.562500 1688713591.7346
MEM 90.605469 1688713591.8351
MEM 90.605469 1688713591.9361
MEM 90.605469 1688713592.0372
MEM 90.605469 1688713592.1385
MEM 90.605469 1688713592.2399
MEM 90.605469 1688713592.3411
MEM 90.605469 1688713592.4417
MEM 90.613281 1688713592.5426
MEM 90.625000 1688713592.6429
MEM 90.945312 1688713592.7438
MEM 90.984375 1688713592.8442
MEM 90.992188 1688713592.9452
MEM 90.992188 1688713593.0462
MEM 91.371094 1688713593.1472
MEM 91.375000 1688713593.2481
MEM 91.378906 1688713593.3489
MEM 91.378906 1688713593.4499
MEM 91.378906 1688713593.5508
MEM 91.378906 1688713593.6519
MEM 91.378906 1688713593.7529
MEM 91.378906 1688713593.8538
MEM 91.378906 1688713593.9549
MEM 91.378906 1688713594.0559
MEM 91.378906 1688713594.1569
MEM 91.378906 1688713594.2578
MEM 91.378906 1688713594.3589
MEM 91.378906 1688713594.4597
MEM 91.378906 1688713594.5604
MEM 91.378906 1688713594.6614
MEM 91.378906 1688713594.7622
MEM 91.378906 1688713594.8630
MEM 91.378906 1688713594.9641
MEM 91.378906 1688713595.0651
MEM 91.378906 1688713595.1654
MEM 91.378906 1688713595.2660
MEM 91.378906 1688713595.3671
MEM 91.378906 1688713595.4681
MEM 91.378906 1688713595.5691
MEM 91.378906 1688713595.6692
MEM 91.378906 1688713595.7699
MEM 91.378906 1688713595.8709
MEM 91.378906 1688713595.9719
MEM 91.378906 1688713596.0729
MEM 91.378906 1688713596.1739
MEM 91.378906 1688713596.2749
MEM 91.378906 1688713596.3759
MEM 91.378906 1688713596.4769
MEM 91.378906 1688713596.5779
MEM 91.378906 1688713596.6789
MEM 91.378906 1688713596.7799
MEM 91.378906 1688713596.8808
MEM 91.378906 1688713596.9818
MEM 91.378906 1688713597.0822
MEM 91.378906 1688713597.1829
MEM 91.378906 1688713597.2838
MEM 91.378906 1688713597.3844
MEM 91.378906 1688713597.4850
MEM 91.378906 1688713597.5864
MEM 91.378906 1688713597.6872
MEM 91.378906 1688713597.7882
MEM 91.378906 1688713597.8893
MEM 91.378906 1688713597.9903
MEM 91.378906 1688713598.0909
MEM 91.378906 1688713598.1913
MEM 91.378906 1688713598.2922
MEM 91.378906 1688713598.3931
MEM 91.378906 1688713598.4933
MEM 91.378906 1688713598.5943
MEM 91.382812 1688713598.6953
MEM 91.382812 1688713598.7963
MEM 91.382812 1688713598.8972
MEM 91.382812 1688713598.9982
MEM 91.382812 1688713599.0992
MEM 91.382812 1688713599.2002
MEM 91.382812 1688713599.3012
MEM 91.382812 1688713599.4022
MEM 91.382812 1688713599.5027
MEM 91.382812 1688713599.6037
MEM 91.382812 1688713599.7047
MEM 91.382812 1688713599.8059
MEM 91.382812 1688713599.9067
MEM 91.382812 1688713600.0078
MEM 91.382812 1688713600.1083
MEM 91.382812 1688713600.2091
MEM 91.382812 1688713600.3101
MEM 91.382812 1688713600.4104
MEM 91.382812 1688713600.5109
MEM 91.382812 1688713600.6111
MEM 91.382812 1688713600.7121
MEM 91.382812 1688713600.8131
MEM 91.382812 1688713600.9140
MEM 91.382812 1688713601.0146
MEM 91.382812 1688713601.1153
MEM 91.382812 1688713601.2159
MEM 91.382812 1688713601.3169
MEM 91.382812 1688713601.4179
MEM 91.382812 1688713601.5189
MEM 91.382812 1688713601.6199
MEM 91.382812 1688713601.7209
MEM 91.382812 1688713601.8219
MEM 91.382812 1688713601.9229
MEM 91.382812 1688713602.0239
MEM 91.382812 1688713602.1249
MEM 91.382812 1688713602.2259
MEM 91.382812 1688713602.3265
MEM 91.382812 1688713602.4271
MEM 91.386719 1688713602.5281
