CMDLINE C:\Users\jeffs\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.683594 1688931014.1741
MEM 14.882812 1688931014.2751
MEM 21.242188 1688931014.3761
MEM 26.554688 1688931014.4771
MEM 31.683594 1688931014.5781
MEM 36.085938 1688931014.6791
MEM 40.406250 1688931014.7801
MEM 45.359375 1688931014.8806
MEM 51.652344 1688931014.9816
MEM 60.656250 1688931015.0826
MEM 67.539062 1688931015.1831
MEM 74.464844 1688931015.2841
MEM 79.367188 1688931015.3850
MEM 83.628906 1688931015.4860
MEM 83.859375 1688931015.5870
MEM 84.152344 1688931015.6880
MEM 84.152344 1688931015.7890
MEM 84.210938 1688931015.8900
MEM 84.453125 1688931015.9910
MEM 84.453125 1688931016.0920
MEM 85.039062 1688931016.1930
MEM 85.136719 1688931016.2936
MEM 85.136719 1688931016.3941
MEM 85.136719 1688931016.4951
MEM 85.339844 1688931016.5961
MEM 85.339844 1688931016.6971
MEM 85.339844 1688931016.7981
MEM 85.339844 1688931016.8991
MEM 85.441406 1688931017.0001
MEM 85.441406 1688931017.1011
MEM 85.441406 1688931017.2021
MEM 85.582031 1688931017.3029
MEM 85.582031 1688931017.4034
MEM 85.582031 1688931017.5044
MEM 85.582031 1688931017.6054
MEM 85.601562 1688931017.7064
MEM 85.601562 1688931017.8074
MEM 85.605469 1688931017.9084
MEM 85.613281 1688931018.0094
MEM 85.617188 1688931018.1104
MEM 85.617188 1688931018.2114
MEM 85.617188 1688931018.3124
MEM 85.617188 1688931018.4129
MEM 85.628906 1688931018.5135
MEM 85.628906 1688931018.6144
MEM 85.628906 1688931018.7154
MEM 85.636719 1688931018.8165
MEM 85.636719 1688931018.9175
MEM 85.636719 1688931019.0184
MEM 85.636719 1688931019.1194
MEM 85.730469 1688931019.2205
MEM 85.734375 1688931019.3215
MEM 85.734375 1688931019.4225
MEM 85.761719 1688931019.5230
MEM 85.761719 1688931019.6235
MEM 85.761719 1688931019.7245
MEM 86.695312 1688931019.8255
MEM 86.695312 1688931019.9265
MEM 86.695312 1688931020.0275
MEM 86.695312 1688931020.1285
MEM 86.695312 1688931020.2295
MEM 86.695312 1688931020.3305
MEM 86.695312 1688931020.4315
MEM 86.695312 1688931020.5325
MEM 86.695312 1688931020.6330
MEM 86.695312 1688931020.7340
MEM 86.695312 1688931020.8350
MEM 86.695312 1688931020.9360
MEM 86.695312 1688931021.0370
MEM 86.695312 1688931021.1380
MEM 86.695312 1688931021.2390
MEM 86.699219 1688931021.3400
MEM 86.699219 1688931021.4405
MEM 86.699219 1688931021.5415
MEM 86.699219 1688931021.6425
MEM 86.699219 1688931021.7430
MEM 86.699219 1688931021.8436
MEM 86.699219 1688931021.9446
MEM 86.699219 1688931022.0456
MEM 86.699219 1688931022.1465
MEM 86.699219 1688931022.2476
MEM 86.699219 1688931022.3486
MEM 86.699219 1688931022.4496
MEM 86.699219 1688931022.5506
MEM 86.699219 1688931022.6516
MEM 86.699219 1688931022.7526
MEM 86.699219 1688931022.8531
MEM 86.699219 1688931022.9541
MEM 86.699219 1688931023.0551
MEM 86.699219 1688931023.1561
MEM 86.699219 1688931023.2571
MEM 86.699219 1688931023.3573
MEM 86.699219 1688931023.4581
MEM 86.699219 1688931023.5591
MEM 86.699219 1688931023.6601
MEM 86.699219 1688931023.7611
MEM 86.699219 1688931023.8621
MEM 86.699219 1688931023.9631
MEM 86.699219 1688931024.0636
MEM 86.699219 1688931024.1646
MEM 86.699219 1688931024.2656
MEM 86.699219 1688931024.3666
MEM 86.699219 1688931024.4676
MEM 86.699219 1688931024.5686
MEM 86.699219 1688931024.6696
MEM 86.699219 1688931024.7706
MEM 86.699219 1688931024.8711
MEM 86.699219 1688931024.9716
MEM 86.699219 1688931025.0727
MEM 86.699219 1688931025.1733
MEM 86.699219 1688931025.2738
MEM 86.699219 1688931025.3748
MEM 86.699219 1688931025.4752
MEM 86.699219 1688931025.5756
MEM 86.699219 1688931025.6766
MEM 86.699219 1688931025.7776
MEM 86.699219 1688931025.8786
MEM 86.699219 1688931025.9796
MEM 86.699219 1688931026.0806
MEM 86.699219 1688931026.1816
MEM 86.699219 1688931026.2826
MEM 86.699219 1688931026.3836
MEM 86.699219 1688931026.4846
MEM 86.699219 1688931026.5856
MEM 86.699219 1688931026.6866
MEM 86.699219 1688931026.7876
MEM 86.699219 1688931026.8886
MEM 86.699219 1688931026.9896
MEM 86.699219 1688931027.0906
MEM 86.699219 1688931027.1915
MEM 86.699219 1688931027.2924
MEM 86.699219 1688931027.3927
MEM 86.699219 1688931027.4932
MEM 86.699219 1688931027.5934
MEM 86.699219 1688931027.6945
MEM 86.699219 1688931027.7947
MEM 86.699219 1688931027.8957
MEM 86.699219 1688931027.9967
MEM 86.699219 1688931028.0977
MEM 86.699219 1688931028.1987
MEM 86.699219 1688931028.2997
MEM 86.699219 1688931028.4007
MEM 86.699219 1688931028.5017
MEM 86.699219 1688931028.6027
MEM 86.699219 1688931028.7032
MEM 86.699219 1688931028.8039
MEM 86.699219 1688931028.9046
MEM 86.699219 1688931029.0054
MEM 86.699219 1688931029.1058
MEM 86.699219 1688931029.2068
MEM 86.699219 1688931029.3078
MEM 86.699219 1688931029.4088
MEM 86.699219 1688931029.5097
MEM 86.699219 1688931029.6107
MEM 86.699219 1688931029.7119
MEM 86.699219 1688931029.8130
MEM 86.699219 1688931029.9134
MEM 86.699219 1688931030.0144
