Memory,Sort_merge,Simple_Hash,Grace_Hash,Hybride_Hash,IndexR cartesian
13,6.854769229888916,9.724156379699707,2.4903640747070312,2.6523780822753906,6.693949460983276
16,4.798679828643799,7.695083856582642,2.5793771743774414,2.2673213481903076,5.485520124435425
19,3.8385415077209473,6.98497462272644,2.5583624839782715,2.1873090267181396,6.441905975341797
22,4.110579490661621,4.857051134109497,2.473245620727539,2.588606834411621,5.38776707649231
25,3.878549337387085,4.896573781967163,2.5908665657043457,1.964951753616333,5.524777889251709
28,3.4963161945343018,3.3004629611968994,2.28914737701416,1.815265417098999,5.402048826217651
31,3.693574905395508,3.0181846618652344,2.406733989715576,1.7422475814819336,5.097679853439331
34,3.3563175201416016,3.641519546508789,2.4404377937316895,1.5792582035064697,5.085158348083496
37,4.002735614776611,2.528907537460327,2.4459104537963867,2.1263034343719482,5.022708892822266
40,3.334866523742676,2.388814687728882,2.3983824253082275,1.507643461227417,5.137731552124023
43,3.420860767364502,2.1844441890716553,2.412777900695801,1.8951396942138672,5.079369068145752
46,3.3044490814208984,2.1201748847961426,2.498990774154663,1.4341351985931396,4.8915112018585205
49,3.0766420364379883,1.8911597728729248,2.5016369819641113,1.3099710941314697,4.8085036277771
52,3.2544469833374023,2.3953781127929688,2.644270658493042,1.4045195579528809,4.7254958152771
57,3.3445258140563965,1.3871469497680664,2.311691999435425,1.160156488418579,4.971810579299927
62,3.285449266433716,1.4100749492645264,2.7202823162078857,1.2931303977966309,5.096321105957031
67,3.042323350906372,1.2179410457611084,2.3744564056396484,1.0571095943450928,4.5454676151275635
72,3.5511891841888428,1.2462890148162842,2.363898754119873,0.8980958461761475,4.910735130310059
77,3.1275925636291504,1.3030438423156738,2.3310155868530273,0.8160848617553711,4.637004852294922
82,3.214341402053833,1.3101470470428467,2.6252520084381104,1.2092952728271484,4.391894817352295
87,2.9627182483673096,1.3386540412902832,2.820063352584839,0.6571831703186035,4.473175287246704
92,3.207090377807617,1.2618579864501953,2.8279664516448975,0.6040751934051514,4.041068077087402
97,3.3751320838928223,1.5543212890625,2.7643465995788574,0.46803760528564453,3.8942337036132812
102,2.672278881072998,1.1237502098083496,2.299471139907837,0.40604329109191895,3.316847085952759
103,4.433461427688599,0.7400722503662109,2.943314790725708,0.5070528984069824,4.182997226715088
118,2.5521907806396484,0.3780534267425537,2.0708224773406982,0.4570491313934326,3.3483524322509766
133,2.5506725311279297,0.36104917526245117,1.9305760860443115,0.3971822261810303,3.4474892616271973
148,2.821430206298828,0.38203883171081543,1.9273550510406494,0.3670389652252197,3.569064140319824
163,2.4631781578063965,0.35602879524230957,1.9907588958740234,0.3620426654815674,3.212055206298828
178,3.5032811164855957,0.4080350399017334,2.4161429405212402,0.499037504196167,3.5122756958007812
193,2.8483803272247314,0.5344042778015137,2.096147060394287,0.3750309944152832,3.5282881259918213
208,1.0660977363586426,0.3525547981262207,1.7832612991333008,0.3610401153564453,3.1912710666656494
210,1.1010873317718506,0.3490283489227295,2.188802719116211,0.38454127311706543,3.4118895530700684
211,1.0730817317962646,0.39904332160949707,1.9457221031188965,0.3620290756225586,3.3822712898254395
