Memory,Sort_merge,Simple_Hash,Grace_Hash,Hybride_Hash,IndexR cartesian
5,0.30280427932739257,0.23320550918579103,0.17200231552124023,0.14220218658447265,0.5042067527770996
6,0.23020377159118652,0.17260351181030273,0.1732025146484375,0.15498199462890624,0.43976588249206544
7,0.22183494567871093,0.15040245056152343,0.16978602409362792,0.12620415687561035,0.43065428733825684
8,0.2116079807281494,0.11139531135559082,0.1810168743133545,0.10033321380615234,0.4181986331939697
9,0.24123659133911132,0.11777248382568359,0.19620246887207032,0.10958490371704102,0.47684292793273925
10,0.2532495498657227,0.11800184249877929,0.22420310974121094,0.0934028148651123,0.43604040145874023
11,0.15740203857421875,0.10600051879882813,0.19680252075195312,0.06800127029418945,0.3414033889770508
15,0.1750032424926758,0.03740057945251465,0.16700186729431152,0.03920059204101563,0.27840566635131836
19,0.16260247230529784,0.036800289154052736,0.14460153579711915,0.03859891891479492,0.26240363121032717
23,0.08380155563354492,0.03980021476745606,0.141402530670166,0.039600801467895505,0.2614025115966797
27,0.08220090866088867,0.038401556015014646,0.1436018943786621,0.03820042610168457,0.2568026542663574
