Memory,Sort_merge,Simple_Hash,Grace_Hash,Hybride_Hash,IndexR cartesian
13,5.277239894866943,9.50809440612793,2.283457374572754,2.281671333312988,5.740699338912964
16,3.628552961349487,6.905425643920898,2.359496021270752,2.038743734359741,5.334943342208862
19,3.6844029903411863,5.521376228332519,2.366938018798828,2.0132967948913576,5.705399227142334
22,3.3529516220092774,4.625463771820068,2.170483350753784,1.9818245887756347,5.3165771484375
25,3.2533581256866455,4.204759025573731,2.279302787780762,1.8017410278320312,5.128185033798218
28,3.2536885261535646,2.9851067543029783,2.2165125370025636,1.7568328380584717,5.1399274349212645
31,3.2785375118255615,2.931813049316406,2.250947093963623,1.5340110301971435,4.948035526275635
34,3.12757248878479,3.150779294967651,2.183865547180176,1.4873645782470704,4.9421168804168705
37,3.165694808959961,2.1668838977813722,2.122167205810547,1.6964667797088624,4.8373736381530765
40,3.162327432632446,2.121991205215454,2.224794387817383,1.4334917068481445,4.892263555526734
43,3.1293642044067385,2.048069143295288,2.25673394203186,1.4920125007629395,4.810253047943116
46,2.997606801986694,2.0125409603118896,2.355953550338745,1.3521344661712646,4.737376976013183
49,2.9072177410125732,1.858530378341675,2.202303409576416,1.2285939693450927,4.559102296829224
52,2.946809720993042,2.0041003704071043,2.1526191234588623,1.1948870182037354,4.612514352798462
57,2.848783016204834,1.2477418422698974,2.110341739654541,1.1100918769836425,4.497715902328491
62,2.93952054977417,1.2211676597595216,2.284769344329834,1.1776398181915284,4.638129997253418
67,2.8924646377563477,1.1774506568908691,2.1947488307952883,0.9501481533050538,4.285721683502198
72,2.9121257305145263,1.1969765186309815,2.0900922298431395,0.8377421379089356,4.320772981643676
77,2.920601749420166,1.1682926177978517,2.1091029167175295,0.7569905757904053,4.202980422973633
82,2.7776763916015623,1.1543217182159424,2.315246915817261,0.7898358345031739,4.13196177482605
87,2.7822844982147217,1.1673714637756347,2.391917276382446,0.5976369380950928,4.04452486038208
92,2.786552381515503,1.1733625888824464,2.5454002380371095,0.5367543697357178,3.9562829971313476
97,2.738122892379761,1.2315851211547852,2.383565664291382,0.4484405994415283,3.8198681354522703
102,2.2854019165039063,1.091128396987915,2.0442834854125977,0.3814379215240479,3.200208282470703
103,2.7603256702423096,0.4940507888793945,2.21874623298645,0.42115163803100586,3.7413097858428954
118,2.338735818862915,0.35631594657897947,1.9697108268737793,0.3768765449523926,3.2768112659454345
133,2.2386478424072265,0.35073213577270507,1.896834659576416,0.36726698875427244,3.2471939086914063
148,2.349911832809448,0.3563436985015869,1.8975678920745849,0.3534399032592773,3.2820449352264403
163,2.2801574230194093,0.3508397102355957,1.922021245956421,0.3552391529083252,3.1904244422912598
178,2.5476465225219727,0.3604393005371094,2.0106707572937013,0.384287166595459,3.375156784057617
193,2.2965739727020265,0.42180442810058594,1.9111059188842774,0.3602307796478271,3.2816762924194336
208,1.0436787128448486,0.34954013824462893,1.7741428852081298,0.3508328914642334,3.163437509536743
210,1.0558131217956543,0.3477499485015869,1.8370415210723876,0.3609156131744385,3.253176784515381
211,1.0498148441314696,0.35782928466796876,1.7944387912750244,0.3522310256958008,3.2162266254425047
