Memory,Sort_merge,Simple_Hash,Grace_Hash,Hybride_Hash,IndexR cartesian
5,0.2760031223297119,0.20700502395629883,0.15900087356567383,0.14000225067138672,0.4990067481994629
6,0.21700167655944824,0.15900206565856934,0.1510014533996582,0.1450023651123047,0.43700575828552246
7,0.20500469207763672,0.14600014686584473,0.15500330924987793,0.11399674415588379,0.42600464820861816
8,0.19199800491333008,0.1029670238494873,0.15304350852966309,0.08900141716003418,0.40796685218811035
9,0.2252810001373291,0.1048574447631836,0.16100025177001953,0.10000014305114746,0.4300072193145752
10,0.20800375938415527,0.11200189590454102,0.17400074005126953,0.07300186157226562,0.4020073413848877
11,0.14600086212158203,0.1029963493347168,0.17400193214416504,0.06200003623962402,0.34000301361083984
15,0.16300368309020996,0.03599882125854492,0.1490013599395752,0.0370020866394043,0.2630021572113037
19,0.1510014533996582,0.03600001335144043,0.14300084114074707,0.03799724578857422,0.2590019702911377
23,0.0820000171661377,0.037999868392944336,0.1380014419555664,0.03700065612792969,0.25600242614746094
27,0.08100032806396484,0.03700613975524902,0.13900041580200195,0.037999868392944336,0.2550017833709717
