Memory,Sort_merge,Simple_Hash,Grace_Hash,Hybride_Hash,IndexR cartesian
13,4.715215444564819,9.319395065307617,2.1893081665039062,2.104300022125244,5.450049638748169
16,3.189128875732422,6.273423671722412,2.1207289695739746,1.8472611904144287,5.138382434844971
19,3.4046359062194824,4.519519329071045,2.0232322216033936,1.7942423820495605,5.029797554016113
22,2.9209470748901367,4.420597314834595,1.9600300788879395,1.6859736442565918,5.1994829177856445
25,2.9387707710266113,3.8602945804595947,2.1342897415161133,1.6035056114196777,4.86944580078125
28,3.0944669246673584,2.7568297386169434,2.1326427459716797,1.7036757469177246,4.883641958236694
31,2.9732630252838135,2.7216224670410156,2.0595967769622803,1.424180507659912,4.837688207626343
34,2.818476676940918,2.848349094390869,2.0310258865356445,1.4252045154571533,4.77833890914917
37,2.7332851886749268,1.8569493293762207,1.9385871887207031,1.3886663913726807,4.691285848617554
40,2.8198153972625732,1.8706114292144775,2.098295211791992,1.3581924438476562,4.609365224838257
43,2.6648519039154053,1.9402198791503906,2.1206588745117188,1.2164604663848877,4.561697006225586
46,2.7969584465026855,1.9609220027923584,2.2861766815185547,1.2117750644683838,4.626232624053955
49,2.7992663383483887,1.825946569442749,2.049086332321167,1.1586523056030273,4.36479115486145
52,2.705416440963745,1.843402624130249,1.8501968383789062,1.0671122074127197,4.445011377334595
57,2.56512713432312,1.1758100986480713,1.965416669845581,1.045607328414917,4.243226528167725
62,2.6977341175079346,1.1221890449523926,2.0998289585113525,1.0745117664337158,4.420551061630249
67,2.7201805114746094,1.1091601848602295,2.0900700092315674,0.845090389251709,4.103603363037109
72,2.619183301925659,1.1541237831115723,1.9493980407714844,0.7705872058868408,3.9918413162231445
77,2.519336223602295,1.0821294784545898,1.9733436107635498,0.6873762607574463,3.8754093647003174
82,2.5014851093292236,1.1001291275024414,2.105804681777954,0.642066478729248,3.9380557537078857
87,2.5036375522613525,1.1010658740997314,2.1522552967071533,0.558953046798706,3.891646385192871
92,2.5484511852264404,1.065286636352539,2.2819900512695312,0.4981348514556885,3.8124849796295166
97,2.5273444652557373,1.1134779453277588,2.281407356262207,0.43204283714294434,3.7576792240142822
102,2.0074400901794434,1.0477261543273926,1.8164150714874268,0.368039608001709,3.1142046451568604
103,2.028106927871704,0.33603382110595703,1.7791850566864014,0.37103796005249023,3.141331434249878
118,2.161809206008911,0.3459193706512451,1.904646396636963,0.3480348587036133,3.212336778640747
133,2.1299338340759277,0.3455007076263428,1.8752129077911377,0.3480355739593506,3.150334119796753
148,2.11993670463562,0.34703612327575684,1.8498311042785645,0.34703660011291504,3.1855342388153076
163,2.1903867721557617,0.3470468521118164,1.8624475002288818,0.35007667541503906,3.162139654159546
178,2.170844078063965,0.34703922271728516,1.862717866897583,0.349045991897583,3.2452573776245117
193,2.0309839248657227,0.34903717041015625,1.844703197479248,0.34802818298339844,3.1698384284973145
208,1.0242488384246826,0.34706544876098633,1.7471184730529785,0.3470282554626465,3.1379594802856445
210,1.0255014896392822,0.34563732147216797,1.7291388511657715,0.346027135848999,3.1322507858276367
211,1.019080638885498,0.346027135848999,1.7231287956237793,0.34603404998779297,3.1334774494171143
