Memory,Sort_merge,Simple_Hash,Grace_Hash,Hybride_Hash,IndexR cartesian
13,4.550251722335815,8.301319599151611,2.0531232357025146,2.00276255607605,5.202798128128052
16,3.2710256576538086,6.505203485488892,2.169739007949829,1.9437675476074219,5.176551103591919
19,3.0432982444763184,4.487647533416748,2.0791637897491455,1.8476345539093018,5.101375579833984
22,3.5474698543548584,4.796874523162842,2.1789026260375977,1.877044677734375,5.158747673034668
25,3.3615665435791016,3.9760656356811523,2.114184856414795,1.9028942584991455,5.021245002746582
28,3.2418346405029297,2.9372544288635254,1.999553918838501,1.568812370300293,5.02002739906311
31,3.224416732788086,2.987682580947876,2.1155309677124023,1.5692105293273926,4.923236846923828
34,2.9096643924713135,3.088279962539673,2.116307497024536,1.483827829360962,4.8068788051605225
37,2.862997055053711,2.1617562770843506,1.9937567710876465,1.4500629901885986,4.783433198928833
40,3.1032865047454834,1.9915544986724854,2.0727500915527344,1.398833990097046,4.727086782455444
43,2.9448153972625732,2.2812232971191406,2.102736234664917,1.3840994834899902,4.646441698074341
46,3.12347674369812,1.998056411743164,2.1546666622161865,1.2930738925933838,4.675506830215454
49,3.111898422241211,2.0006110668182373,2.2798261642456055,1.390669822692871,4.7333409786224365
52,2.863403797149658,2.2718560695648193,2.0938186645507812,1.1966784000396729,4.704349517822266
57,2.7828595638275146,1.3549673557281494,2.15375018119812,1.0357236862182617,4.482162714004517
62,2.688788414001465,1.197615146636963,2.3772919178009033,0.9931211471557617,4.3864922523498535
67,2.713470697402954,1.1831691265106201,2.237924814224243,1.0172605514526367,4.278635501861572
72,2.7261359691619873,1.1977572441101074,2.0236997604370117,0.9302000999450684,4.417847633361816
77,2.7494874000549316,1.1742591857910156,2.199209213256836,0.7509360313415527,4.252635717391968
82,2.9944310188293457,1.235872745513916,2.266967535018921,0.6758716106414795,4.111308813095093
87,2.7312445640563965,1.2368757724761963,2.491359233856201,0.5989482402801514,4.151895523071289
92,2.689542770385742,1.1535842418670654,2.4727940559387207,0.5678770542144775,4.194636106491089
97,2.8845794200897217,1.2390773296356201,2.3915653228759766,0.4619607925415039,4.02048397064209
102,2.1775972843170166,1.2846264839172363,2.2717862129211426,0.415757417678833,3.4548757076263428
103,2.111304521560669,0.34997987747192383,2.089820623397827,0.38396525382995605,3.390660047531128
118,2.1632821559906006,0.35396838188171387,1.8994147777557373,0.3529689311981201,3.333301305770874
133,2.4363393783569336,0.34597015380859375,1.9059841632843018,0.3509697914123535,3.2567219734191895
148,2.254328727722168,0.38496851921081543,1.945816993713379,0.3489694595336914,3.2472991943359375
163,2.114471673965454,0.3869667053222656,2.1538357734680176,0.3789708614349365,3.3179869651794434
178,2.0845162868499756,0.36296987533569336,1.9768288135528564,0.39296746253967285,3.3957087993621826
193,2.2644622325897217,0.351909875869751,1.8774833679199219,0.35396862030029297,3.228729009628296
208,1.0030591487884521,0.3729691505432129,1.9258320331573486,0.3509695529937744,3.2674508094787598
210,1.0460307598114014,0.38582682609558105,1.867842435836792,0.35297060012817383,3.181453227996826
211,0.992922306060791,0.3559718132019043,1.7888457775115967,0.3849670886993408,3.35260272026062
