Memory,Sort_merge,Simple_Hash,Grace_Hash,Hybride_Hash,IndexR cartesian
5,1.1660508314768474,0.6986509164174398,0.48499131202697754,0.4826556046803792,13.296367406845093
6,0.6699850559234619,0.5309845606486002,0.5196588039398193,0.47332151730855304,12.646716833114624
7,0.674652099609375,0.5223189989725748,0.5169876416524252,0.4213229815165202,12.290721893310547
8,0.6663188139597574,0.3796568711598714,0.5209877490997314,0.349995215733846,12.113397916158041
9,0.6783199310302734,0.37899231910705566,0.5463213920593262,0.32932670911153156,12.073094447453817
10,0.651647170384725,0.3629924456278483,0.5623188813527426,0.27965561548868817,11.8148144086202
11,0.5266526540120443,0.37099210421244305,0.6269881725311279,0.27166024843851727,11.434075673421225
15,0.5119874477386475,0.16199700037638345,0.5479907194773356,0.158994992574056,10.478818337122599
19,0.5079890886942545,0.15766382217407227,0.46532416343688965,0.15732765197753906,10.252433061599731
23,0.24532842636108398,0.15633034706115723,0.46532289187113446,0.15899483362833658,10.342778126398722
27,0.23166346549987793,0.16232991218566895,0.47199106216430664,0.15866351127624512,10.315799315770468
