Memory,Sort_merge,Simple_Hash,Grace_Hash,Hybride_Hash,IndexR cartesian
13,5.055291811625163,8.64684502283732,2.08237353960673,2.0379066467285156,6.095815022786458
16,3.2924886544545493,6.314684311548869,2.0431317488352456,1.852452039718628,6.103988806406657
19,3.4608545303344727,4.659405946731567,2.079219420750936,1.9046661059061687,5.968511422475179
22,3.17467466990153,4.544843753178914,2.0324869950612388,1.8666927019755046,5.6880307992299395
25,3.1090172131856284,3.7361179192860923,2.299313942591349,1.7433600425720215,5.699646870295207
28,3.0428280035654702,2.849257310231527,2.0593088467915854,1.5749642848968506,5.504273176193237
31,2.929082155227661,2.830636978149414,2.0750205516815186,1.5432178179423015,5.476110617319743
34,3.0363430182139077,2.8510122299194336,2.1540441513061523,1.527535359064738,5.3834273020426435
37,3.1340347131093345,2.351402918497721,2.1668927669525146,1.7459065119425456,5.435645818710327
40,3.5056283473968506,2.2090036869049072,2.6521376768747964,1.9189180533091228,5.9136215051015215
43,3.4390950202941895,2.328615347544352,2.5432541370391846,1.365971326828003,5.361952543258667
46,3.033808469772339,2.1312216917673745,2.4029858907063804,1.433226744333903,5.350662151972453
49,3.1193559169769287,2.131197532018026,2.340982516606649,1.2699161370595295,5.482216835021973
52,3.508479595184326,2.1797451972961426,2.361023267110189,1.428006649017334,5.497096459070842
57,4.553385655085246,1.8387505213419597,3.0191920598347983,1.7717266082763672,5.924918572107951
62,2.9680538972218833,1.185072898864746,2.3982443809509277,1.1399614810943604,4.965166489283244
67,2.952432950337728,1.2523772716522217,2.264054854710897,0.9625474611918131,4.94729471206665
72,2.9916675090789795,1.1920763651529949,2.211857318878174,0.9063894748687744,4.937414725621541
77,2.991595983505249,1.2392791906992595,2.3382980028788247,0.8742887179056803,4.982217073440552
82,3.0185858408610025,1.2942278385162354,2.3992024262746177,0.7513298988342285,4.559340476989746
87,3.0508135159810386,1.228503704071045,2.6920374234517417,0.6126665274302164,4.579081296920776
92,3.013416051864624,1.275490681330363,2.997366507848104,0.5635997454325358,4.366530100504558
97,3.2301151752471924,1.2445512612660725,2.820312817891439,0.5356671810150146,5.075005928675334
102,2.8686405022939048,1.3079444567362468,3.220677614212036,0.6425692240397135,3.9075252215067544
103,2.5281855265299478,0.3811326821645101,2.0114924112955728,0.3753371238708496,3.765286366144816
118,2.5787740548451743,0.41519983609517414,2.3407073815663657,0.3801409403483073,3.490185499191284
133,2.8957131703694663,0.4692203998565674,2.2447285652160645,0.3915267785390218,3.489971955617269
148,2.525543212890625,0.4010032018025716,2.1326723098754883,0.3836676279703776,3.3637134234110513
163,2.5957373778025308,0.38992921511332196,2.264206886291504,0.38596463203430176,3.34905473391215
178,2.7585463523864746,0.38899970054626465,2.314849774042765,0.46468496322631836,3.420839707056681
193,2.5924689769744873,0.38767067591349286,2.1480465730031333,0.4060007731119792,3.427105188369751
208,1.4713292916615803,0.38870692253112793,2.055558443069458,0.3833316961924235,3.4473279317220054
210,1.227380593617757,0.387387752532959,1.9440444310506184,0.38500038782755536,3.354775826136271
210,1.2135199705759685,0.3931597073872884,2.1431967417399087,0.37800296147664386,3.3438809712727866
