Memory,Sort_merge,Simple_Hash,Grace_Hash,Hybride_Hash,IndexR cartesian
5,0.6868673165639242,0.4856571356455485,0.35100920995076496,0.2746888796488444,4.068339188893636
6,0.44231319427490234,0.3443184693654378,0.33952919642130536,0.30965185165405273,3.7298385302225747
7,0.4272722403208415,0.2909864584604899,0.31632041931152344,0.2793303330739339,3.5458474159240723
8,0.40998323758443195,0.21732441584269205,0.3251541455586751,0.20999018351236978,3.4108508427937827
9,0.4108274777730306,0.1903235117594401,0.35465653737386066,0.20798993110656738,3.4241830507914224
10,0.3953125476837158,0.19432560602823892,0.33698272705078125,0.15232539176940918,3.2331936359405518
11,0.3093201319376628,0.1926579475402832,0.36465032895406085,0.15799554189046225,3.110196113586426
15,0.30998746554056805,0.0959945519765218,0.31765222549438477,0.08932956059773763,2.7542176246643066
19,0.35231542587280273,0.09266074498494466,0.30231984456380206,0.09666236241658528,2.7218847274780273
23,0.14699459075927734,0.08832939465840657,0.26832159360249835,0.08832812309265137,2.6999035676320395
27,0.18464064598083496,0.09699384371439616,0.3283231258392334,0.11199474334716797,2.783543348312378
