Y,Z
-151,456
-144,401
-137,460
-124,422
-97,612
-96,620
-69,552
-68,509
-61,477
-50,590
-42,631
-16,630
1,424
3,487
4,599
5,484
7,518
9,646
14,576
20,581
23,465
25,421
26,439
28,505
32,433
33,575
37,403
39,546
42,454
43,566
44,540
47,393
