X,Y,Z
115,213,413
117,208,406
121,292,385
122,76,389
195,70,409
224,62,401
256,59,407
268,210,387
269,107,408
280,293,400
320,317,414
34,274,437
72,264,422
82,199,435
92,315,428
96,157,448
106,64,431
178,93,434
184,270,438
228,94,427
234,92,420
236,282,430
242,167,439
253,242,429
273,130,444
276,223,443
277,191,419
290,219,425
296,43,433
301,75,426
303,33,447
307,188,446
